timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1716840139220,478,Laptops,200,OK,Usuarios 1-16,text,true,,35784,163,15,15,http://opencart.abstracta.us/index.php?route=product/category&path=18,282,0,0
1716840139388,528,Phones,200,OK,Usuarios 1-15,text,true,,31104,163,15,15,http://opencart.abstracta.us/index.php?route=product/category&path=24,322,0,0
1716840139408,514,Phones,200,OK,Usuarios 1-8,text,true,,31104,163,14,14,http://opencart.abstracta.us/index.php?route=product/category&path=24,324,0,0
1716840139649,498,Laptops,200,OK,Usuarios 1-17,text,true,,35784,163,13,13,http://opencart.abstracta.us/index.php?route=product/category&path=18,306,0,0
1716840139702,495,Phones,200,OK,Usuarios 1-10,text,true,,31104,163,13,13,http://opencart.abstracta.us/index.php?route=product/category&path=24,306,0,0
1716840139915,512,Phones,200,OK,Usuarios 1-14,text,true,,31104,163,12,12,http://opencart.abstracta.us/index.php?route=product/category&path=24,325,0,0
1716840140012,624,Phones,200,OK,Usuarios 1-13,text,true,,31104,163,11,11,http://opencart.abstracta.us/index.php?route=product/category&path=24,434,0,0
1716840140152,528,Phones,200,OK,Usuarios 1-6,text,true,,31104,163,10,10,http://opencart.abstracta.us/index.php?route=product/category&path=24,340,0,0
1716840140546,510,Phones,200,OK,Usuarios 1-1,text,true,,31104,163,9,9,http://opencart.abstracta.us/index.php?route=product/category&path=24,316,0,0
1716840141030,564,Laptops,200,OK,Usuarios 1-20,text,true,,35784,163,8,8,http://opencart.abstracta.us/index.php?route=product/category&path=18,368,0,0
1716840141101,544,Laptops,200,OK,Usuarios 1-19,text,true,,35784,163,8,8,http://opencart.abstracta.us/index.php?route=product/category&path=18,355,0,0
1716840141228,479,Phones,200,OK,Usuarios 1-17,text,true,,31104,163,8,8,http://opencart.abstracta.us/index.php?route=product/category&path=24,289,0,0
1716840141357,596,Phones,200,OK,Usuarios 1-3,text,true,,31104,163,7,7,http://opencart.abstracta.us/index.php?route=product/category&path=24,403,0,0
1716840141351,637,Phones,200,OK,Usuarios 1-16,text,true,,31104,163,6,6,http://opencart.abstracta.us/index.php?route=product/category&path=24,441,0,0
1716840141376,640,Phones,200,OK,Usuarios 1-12,text,true,,31104,163,5,5,http://opencart.abstracta.us/index.php?route=product/category&path=24,449,0,0
1716840141463,641,Laptops,200,OK,Usuarios 1-18,text,true,,35784,163,4,4,http://opencart.abstracta.us/index.php?route=product/category&path=18,416,0,0
1716840143271,466,Phones,200,OK,Usuarios 1-18,text,true,,31104,163,4,4,http://opencart.abstracta.us/index.php?route=product/category&path=24,276,0,0
1716840143349,463,Phones,200,OK,Usuarios 1-9,text,true,,31104,163,3,3,http://opencart.abstracta.us/index.php?route=product/category&path=24,275,0,0
1716840143722,503,Phones,200,OK,Usuarios 1-19,text,true,,31104,163,2,2,http://opencart.abstracta.us/index.php?route=product/category&path=24,266,0,0
1716840145385,481,Phones,200,OK,Usuarios 1-20,text,true,,31104,163,1,1,http://opencart.abstracta.us/index.php?route=product/category&path=24,275,0,0
